,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
277,tt0840361,7.6,322524.0,The Town,2010,125.0,"Crime,Drama,Thriller",92.0,"Sep 17, 2010",37000000.0,92186262.0,152566881.0,115566881.0,0.6042350829732175,3.1234292162162163,2010.0,True
279,tt0842926,7.0,120656.0,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",87.0,"Jul 9, 2010",4000000.0,20811365.0,36275469.0,32275469.0,0.5737035405386488,8.06886725,2010.0,True
289,tt0848228,8.1,1183655.0,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",27.0,"May 4, 2012",225000000.0,623279547.0,1517935897.0,1292935897.0,0.4106099264348579,5.746381764444444,2012.0,True
290,tt0848537,6.7,95318.0,Epic,2013,102.0,"Adventure,Animation,Family",77.0,"May 24, 2013",100000000.0,107518682.0,262794441.0,162794441.0,0.40913605931260927,1.62794441,2013.0,True
295,tt0850709,5.3,182.0,Risen,2010,121.0,"Biography,Drama",48.0,"Feb 19, 2016",20000000.0,36880033.0,46255763.0,26255763.0,0.7973067701855875,1.31278815,2016.0,True
300,tt0857190,6.1,18095.0,The Sweeney,2012,112.0,"Action,Crime,Drama",53.0,"Mar 1, 2013",4500000.0,26345.0,8000366.0,3500366.0,0.003292974346423651,0.7778591111111111,2013.0,False
310,tt0864835,6.8,57277.0,Mr. Peabody & Sherman,2014,92.0,"Adventure,Animation,Comedy",1.0,"Mar 7, 2014",145000000.0,111506430.0,269806430.0,124806430.0,0.41328307112621443,0.860734,2014.0,False
315,tt0872230,4.8,18381.0,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",68.0,"Oct 8, 2010",25000000.0,14744435.0,16727470.0,-8272530.0,0.8814503926774342,-0.3309012,2010.0,False
316,tt0873886,6.2,59266.0,Red State,2011,88.0,"Action,Crime,Horror",22.0,"Sep 23, 2011",4000000.0,1065429.0,1983596.0,-2016404.0,0.537119957894652,-0.504101,2011.0,False
324,tt0878835,6.6,10652.0,Please Give,2010,87.0,"Comedy,Drama",15.0,"Apr 30, 2010",3000000.0,4033574.0,4570178.0,1570178.0,0.8825857548655655,0.5233926666666666,2010.0,False
326,tt0879870,5.8,77709.0,Eat Pray Love,2010,133.0,"Drama,Romance",67.0,"Aug 13, 2010",60000000.0,80574010.0,206598789.0,146598789.0,0.39000233442801063,2.44331315,2010.0,True
328,tt0881320,5.9,51318.0,Sanctum,2011,108.0,"Adventure,Drama,Thriller",45.0,"Feb 4, 2011",30000000.0,23209310.0,108957098.0,78957098.0,0.21301329079083953,2.631903266666667,2011.0,True
330,tt0882977,6.5,78142.0,Snitch,2013,112.0,"Action,Drama,Thriller",26.0,"Feb 22, 2013",15000000.0,42930462.0,57907734.0,42907734.0,0.7413597292548176,2.8605156,2013.0,True
333,tt0884732,6.7,66893.0,The Wedding Ringer,2015,101.0,Comedy,73.0,"Jan 16, 2015",23000000.0,64460211.0,80171596.0,57171596.0,0.8040280375608339,2.4857215652173914,2015.0,True
338,tt0889573,6.1,90661.0,The Switch,2010,101.0,"Comedy,Drama,Romance",39.0,"Aug 20, 2010",19000000.0,27758465.0,49858465.0,30858465.0,0.5567452788608714,1.6241297368421053,2010.0,True
341,tt0892318,6.6,86137.0,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",89.0,"May 14, 2010",30000000.0,53032453.0,82148538.0,52148538.0,0.6455678249563005,1.7382846,2010.0,True
342,tt0892769,8.1,611299.0,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",30.0,"Mar 26, 2010",165000000.0,217581232.0,494870992.0,329870992.0,0.43967263290308195,1.9992181333333334,2010.0,True
343,tt0892791,6.3,167532.0,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",27.0,"May 21, 2010",165000000.0,238736787.0,756244673.0,591244673.0,0.31568723129372706,3.5833010484848486,2010.0,True
352,tt0903624,7.9,719629.0,The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",19.0,"Dec 14, 2012",250000000.0,303003568.0,1017003568.0,767003568.0,0.29793756633113405,3.068014272,2012.0,True
354,tt0905372,6.2,111900.0,The Thing,2011,103.0,"Horror,Mystery,Sci-Fi",77.0,"Oct 14, 2011",38000000.0,16999934.0,27573078.0,-10426922.0,0.6165410332498968,-0.2743926842105263,2011.0,False
366,tt0918940,6.3,150154.0,The Legend of Tarzan,2016,110.0,"Action,Adventure,Drama",88.0,"Jul 1, 2016",180000000.0,126643061.0,348902025.0,168902025.0,0.3629759987778804,0.9383445833333334,2016.0,False
380,tt0935075,7.0,45357.0,Rabbit Hole,2010,91.0,Drama,52.0,"Dec 17, 2010",5000000.0,2229058.0,6205034.0,1205034.0,0.3592338091942768,0.2410068,2010.0,False
383,tt0938283,4.1,137734.0,The Last Airbender,2010,103.0,"Action,Adventure,Family",83.0,"Jul 1, 2010",150000000.0,131772187.0,319713881.0,169713881.0,0.4121566026093187,1.1314258733333333,2010.0,True
388,tt0944835,6.4,277204.0,Salt,2010,100.0,"Action,Mystery,Thriller",50.0,"Jul 23, 2010",130000000.0,118311368.0,290650494.0,160650494.0,0.4070571715594607,1.2357730307692307,2010.0,True
389,tt0945513,7.5,452036.0,Source Code,2011,93.0,"Action,Drama,Sci-Fi",96.0,"Apr 1, 2011",32000000.0,54712227.0,140428499.0,108428499.0,0.38960914194489826,3.38839059375,2011.0,True
390,tt0947798,8.0,648854.0,Black Swan,2010,108.0,"Drama,Thriller",46.0,"Dec 3, 2010",13000000.0,106954678.0,331266710.0,318266710.0,0.3228657597378258,24.482054615384616,2010.0,True
391,tt0947810,6.8,122132.0,Green Zone,2010,115.0,"Action,Drama,Thriller",98.0,"Mar 12, 2010",100000000.0,35497337.0,97523020.0,-2476980.0,0.36398931247207067,-0.0247698,2010.0,False
392,tt0948470,7.0,525632.0,The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi",31.0,"Jul 3, 2012",220000000.0,262030663.0,757890267.0,537890267.0,0.3457369416250862,2.444955759090909,2012.0,True
394,tt0954947,6.1,31727.0,The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",11.0,"Jun 18, 2010",13000000.0,217277.0,3617277.0,-9382723.0,0.06006645330175157,-0.721747923076923,2010.0,False
395,tt0955308,6.6,239480.0,Robin Hood,2010,140.0,"Action,Adventure,Drama",9.0,"Nov 21, 2018",99000000.0,30824628.0,84747441.0,-14252559.0,0.3637234072943866,-0.1439652424242424,2018.0,False
396,tt0955308,6.6,239480.0,Robin Hood,2010,140.0,"Action,Adventure,Drama",39.0,"May 14, 2010",210000000.0,105487148.0,322459006.0,112459006.0,0.32713351476373403,0.5355190761904762,2010.0,False
408,tt0963966,6.1,143862.0,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",44.0,"Jul 14, 2010",160000000.0,63150991.0,217986320.0,57986320.0,0.2897016243955125,0.3624145,2010.0,False
409,tt0964517,7.8,316539.0,The Fighter,2010,116.0,"Biography,Drama,Sport",68.0,"Dec 10, 2010",11000000.0,93617009.0,129262388.0,118262388.0,0.7242401324041762,10.751126181818181,2010.0,True
414,tt0968264,6.9,26416.0,The Conspirator,2010,122.0,"Crime,Drama,History",80.0,"Apr 15, 2011",25000000.0,11538204.0,15907411.0,-9092589.0,0.7253351283876427,-0.36370356,2011.0,False
418,tt0970179,7.5,284869.0,Hugo,2011,126.0,"Adventure,Drama,Family",89.0,"Nov 23, 2011",180000000.0,73864507.0,180047784.0,47784.0,0.410249464664336,0.00026546666666666665,2011.0,False
419,tt0970866,5.5,99222.0,Little Fockers,2010,98.0,"Comedy,Romance",70.0,"Dec 22, 2010",100000000.0,148438600.0,310650574.0,210650574.0,0.4778314042323321,2.10650574,2010.0,True
427,tt0974015,6.5,329135.0,Justice League,2017,120.0,"Action,Adventure,Fantasy",9.0,"Nov 17, 2017",300000000.0,229024295.0,655945209.0,355945209.0,0.3491515630537977,1.18648403,2017.0,True
433,tt0978764,6.1,218371.0,Sucker Punch,2011,110.0,"Action,Adventure,Fantasy",62.0,"Mar 25, 2011",75000000.0,36392502.0,89758389.0,14758389.0,0.40544958978708945,0.19677852,2011.0,False
435,tt0979434,5.0,10042.0,Lottery Ticket,2010,99.0,Comedy,90.0,"Aug 20, 2010",17000000.0,24719879.0,24719879.0,7719879.0,1.0,0.4541105294117647,2010.0,False
436,tt0980970,6.3,129663.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",48.0,"Dec 10, 2010",155000000.0,104386950.0,418186950.0,263186950.0,0.2496179041455024,1.6979803225806451,2010.0,True
440,tt0983193,7.3,202430.0,The Adventures of Tintin,2011,107.0,"Action,Adventure,Animation",52.0,"Dec 21, 2011",130000000.0,77591831.0,373993951.0,243993951.0,0.20746814431766036,1.8768765461538461,2011.0,True
444,tt0985694,6.6,182320.0,Machete,2010,105.0,"Action,Crime,Thriller",18.0,"Sep 3, 2010",12500000.0,26593646.0,46370970.0,33870970.0,0.5734977292905453,2.7096776,2010.0,True
448,tt0989757,6.3,128657.0,Dear John,2010,108.0,"Drama,Romance,War",77.0,"Feb 5, 2010",25000000.0,80014842.0,142033509.0,117033509.0,0.5633518636788731,4.68134036,2010.0,True
