,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
94,tt1333125,4.3,92980.0,Movie 43,2013,94.0,Comedy,39.0,"Jan 25, 2013",10000000.0,8840453.0,31164747.0,21164747.0,0.2836683705470158,2.1164747,2013.0,True
95,tt1334512,5.7,49013.0,Arthur,2011,110.0,"Comedy,Romance",67.0,"Apr 8, 2011",40000000.0,33035397.0,47787943.0,7787943.0,0.6912914623674009,0.194698575,2011.0,False
96,tt1336617,6.3,32457.0,Cyrus,2010,91.0,"Comedy,Drama,Romance",27.0,"Jun 18, 2010",7000000.0,7468936.0,10062896.0,3062896.0,0.7422252997546631,0.4375565714285714,2010.0,False
100,tt1343092,7.3,433165.0,The Great Gatsby,2013,143.0,"Drama,Romance",70.0,"May 10, 2013",190000000.0,144840419.0,351040419.0,161040419.0,0.4126032535301868,0.847581152631579,2013.0,False
102,tt1366344,5.7,65575.0,The Sitter,2011,81.0,Comedy,32.0,"Dec 9, 2011",25000000.0,30542576.0,38749404.0,13749404.0,0.7882076328193331,0.54997616,2011.0,False
104,tt1375670,6.0,210377.0,Grown Ups,2010,102.0,Comedy,34.0,"Jun 25, 2010",75000000.0,162001186.0,272223430.0,197223430.0,0.5951037572335343,2.629645733333333,2010.0,True
105,tt1396484,7.4,359123.0,It,2017,135.0,"Horror,Thriller",24.0,"Sep 8, 2017",35000000.0,327481748.0,697457969.0,662457969.0,0.4695361764516594,18.927370542857144,2017.0,True
106,tt1403981,7.1,129443.0,Remember Me,2010,113.0,"Drama,Romance",51.0,"Mar 12, 2010",16000000.0,19068240.0,56506120.0,40506120.0,0.33745442086627075,2.5316325,2010.0,True
110,tt1411238,6.2,197663.0,No Strings Attached,2011,108.0,"Comedy,Romance",84.0,"Jan 21, 2011",25000000.0,70662220.0,149228078.0,124228078.0,0.4735182610875682,4.96912312,2011.0,True
111,tt1411664,3.3,10648.0,Bucky Larson: Born to Be a Star,2011,97.0,Comedy,78.0,"Sep 9, 2011",10000000.0,2529395.0,2529395.0,-7470605.0,1.0,-0.7470605,2011.0,False
112,tt1412386,7.3,85811.0,The Best Exotic Marigold Hotel,2011,124.0,"Comedy,Drama,Romance",55.0,"May 4, 2012",10000000.0,46383639.0,134639780.0,124639780.0,0.3445017438382624,12.463978,2012.0,True
113,tt1412528,5.8,22751.0,Table 19,2017,87.0,"Comedy,Drama,Romance",45.0,"Mar 3, 2017",5000000.0,3614896.0,4620399.0,-379601.0,0.782377452683199,-0.0759202,2017.0,False
114,tt1421051,6.3,40250.0,Somewhere,2010,97.0,"Comedy,Drama",42.0,"Dec 22, 2010",7000000.0,1785645.0,17023121.0,10023121.0,0.1048952774288569,1.4318744285714287,2010.0,False
